238.327 36.914 -36.287 26.829 1.149 1.315 0.037
238.250 36.763 -36.680 30.331 0.829 0.866 0.016
239.059 36.279 -36.142 29.467 1.297 1.680 -0.009
238.925 36.488 -23.318 13.652 1.308 1.744 0.018
238.730 36.696 -26.700 13.741 1.506 1.711 0.055
238.675 36.793 -20.841 8.292 0.866 0.937 0.009
238.432 36.873 -30.142 23.370 0.599 0.592 -0.006
238.482 36.823 -39.199 31.501 1.565 1.582 0.004
238.205 36.774 -37.975 31.885 0.881 0.890 0.021
238.229 36.846 -36.967 30.768 1.200 1.395 0.043
238.379 36.892 -35.783 27.395 0.708 0.718 0.009
238.304 36.782 -38.440 31.881 0.998 1.036 0.010
239.184 36.188 -37.098 28.750 0.530 0.500 0.009
238.677 36.420 -36.753 33.592 0.510 0.480 0.013
239.004 36.410 -20.901 11.404 0.940 0.630 -0.107
238.571 36.493 -38.240 32.454 0.580 0.560 0.006
238.107 36.602 -36.743 34.566 0.700 0.670 -0.011
238.227 36.590 -37.459 34.384 0.520 0.500 -0.005
239.416 35.970 -33.765 29.714 0.400 0.400 -0.001
238.805 36.448 -36.791 30.919 0.660 0.730 -0.019
239.418 35.971 -34.365 30.513 0.540 0.690 0.206
238.227 36.670 -37.696 33.384 1.010 1.140 -0.083
239.175 36.315 -18.398 8.729 0.780 1.060 -0.002
239.460 35.957 -34.528 29.843 0.440 0.430 -0.014
239.106 36.453 -18.426 8.731 0.670 0.830 -0.004
239.404 36.079 -19.248 12.784 0.830 0.720 0.097
239.404 36.079 -18.828 12.124 0.410 0.400 -0.001
238.228 36.589 -37.459 34.383 0.520 0.500 -0.005
238.799 36.294 -37.944 33.549 1.050 0.820 -0.026
238.816 36.571 -37.923 32.459 0.790 0.830 -0.009
239.317 36.030 -35.345 29.955 0.610 1.250 0.477
239.317 36.030 -35.545 30.215 0.980 1.400 0.167
238.999 36.537 -18.341 7.094 0.630 0.720 -0.005
239.077 36.227 -36.980 30.631 0.870 1.260 -0.005
239.292 35.949 -34.036 30.746 0.710 0.980 -0.228
239.292 35.949 -34.196 30.866 0.400 0.410 -0.027
239.027 36.153 -40.123 32.732 2.200 1.500 0.000
239.309 36.178 -16.689 8.848 2.400 1.700 0.000
239.004 36.410 -22.238 7.740 0.900 0.600 0.000
238.730 36.696 -26.467 16.222 4.100 3.400 0.000
238.675 36.793 -18.839 8.438 4.500 2.300 0.000
239.294 36.304 -18.448 4.953 2.500 1.500 0.000
238.774 36.363 -37.276 30.108 2.200 1.300 0.000
239.218 36.413 -18.918 7.676 1.200 0.700 0.000
238.805 36.448 -37.044 31.799 1.400 0.800 0.000
239.175 36.315 -18.254 8.288 2.000 1.200 0.000
239.214 36.363 -17.935 6.676 2.700 1.400 0.000
239.011 36.293 -37.878 29.937 2.500 1.500 0.000
