> -Z86.843000000
238.245491648 46.710829140
238.414858101 46.791262464
238.422875984 46.645359514
> -Z48.626300000
237.200627230 45.075924043
237.026583256 45.177797535
237.166922746 45.251178915
> -Z52.966200000
236.815635256 42.706945694
236.715330484 42.517340201
236.611814224 42.692636277
> -Z29.063066667
236.183310141 43.839978390
236.018733000 43.693684290
236.001175907 43.961031382
> -Z28.381733333
236.136303643 42.427639873
236.101507792 42.224974385
235.917581608 42.295985176
> -Z15.661133333
235.493836776 45.395171273
235.335834293 45.335678018
235.299235778 45.597342228
> -Z43.455700000
237.019260759 46.106002680
236.927170596 45.925480329
236.824145739 46.091168963
> -Z33.560166667
236.411749318 40.496495057
236.435221622 40.304713622
236.272646884 40.361005022
> -Z5.216000000
234.862033007 42.527751573
235.024583176 42.649062940
235.045638074 42.450333237
> -Z2.488533333
232.718072179 48.641048690
232.778605945 48.827851021
232.902537561 48.707877976
> -Z25.810000000
235.959395773 46.578073705
236.120871844 46.544828149
236.023787303 46.410739162
> -Z1.087900000
234.657702076 43.094724190
234.648376491 43.343521136
234.826434044 43.228947539
> -Z7.402433333
235.053468109 42.125783138
235.246523615 42.069598046
235.102087290 41.926508318
> -Z13.104433333
235.387356169 42.486448678
235.568024894 42.402150390
235.367311661 42.324170422
> -Z41.486233333
235.902488470 48.681590245
235.790268888 48.557262184
235.740625979 48.700835332
> -Z1.067366667
234.698414925 42.099713292
234.899433774 41.961877734
234.725878443 41.851280510
> -Z6.659500000
234.075342676 47.625436351
234.273180995 47.621807842
234.185869638 47.387772777
> -Z20.526433333
233.836756117 49.016069063
234.027604412 49.070152472
233.964046505 48.882159904
> -Z40.594733333
234.602770133 49.485186576
234.664580890 49.294924721
234.489585031 49.357765968
> -Z21.409166667
232.823972303 49.985393519
233.036105970 49.855875956
232.747767177 49.811242400
> -Z49.100200000
234.975294261 49.385795008
235.057170877 49.550615916
235.154697438 49.352094295
> -Z54.660766667
236.363369802 49.334268962
236.304890392 49.148928762
236.190737294 49.305188561
> -Z19.918833333
234.282589005 48.790089653
234.211899781 48.604271480
234.089362205 48.744865167
> -Z30.026433333
236.051154236 47.108779073
236.082242941 47.298435314
236.216346894 47.230529866
> -Z52.164066667
237.200627230 45.075924043
237.392624345 45.102525470
237.338354753 44.939398566
> -Z32.280266667
236.103602585 47.523807987
236.298894775 47.472067509
236.082242941 47.298435314
> -Z58.674133333
237.955964863 47.006918297
237.926373699 46.817858828
237.769505546 46.940422282
> -Z71.623700000
237.735450078 43.901930042
237.605361924 44.040193337
237.794929559 44.040531702
> -Z19.850500000
235.555812095 44.971768792
235.742822189 44.863980057
235.584596132 44.713828439
> -Z60.777366667
237.920051494 46.635907451
237.946525972 46.441089072
237.761173392 46.516473556
> -Z26.891366667
236.249174607 40.552852466
236.272646884 40.361005022
236.110078972 40.417167324
> -Z19.967366667
235.743815932 41.798724795
235.777200945 41.989780625
235.927920462 41.954387672
> -Z27.110366667
236.049526829 43.491545282
235.853165517 43.549344045
236.018733000 43.693684290
> -Z2.126633333
234.657702076 43.094724190
234.826434044 43.228947539
234.834659654 42.978614255
> -Z30.677033333
236.301348834 44.526961616
236.141174715 44.376669334
236.115593819 44.641874519
> -Z22.618866667
235.712531635 45.124043722
235.705707435 45.328167926
235.882705520 45.233735853
> -Z5.320500000
234.907735690 42.384402974
235.045638074 42.450333237
235.021990802 42.286936036
> -Z5.330333333
235.102087290 41.926508318
234.899433774 41.961877734
235.053468109 42.125783138
> -Z1.109933333
234.768273305 41.603232649
234.967497583 41.562729925
234.828206696 41.355401438
> -Z13.641966667
235.605240824 41.889223192
235.462072454 41.760900051
235.432489262 41.968992226
> -Z7.501400000
235.273398204 41.825716652
235.111317312 41.705773212
235.102087290 41.926508318
> -Z27.304766667
235.947687082 41.572177242
236.112853688 41.693468652
236.146956920 41.492829245
> -Z16.505666667
235.900476849 40.856452068
235.923948041 40.664678247
235.761399924 40.720247157
> -Z9.270366667
235.450758479 41.362364741
235.239237118 41.274028192
235.331254092 41.469788539
> -Z47.797500000
236.852657440 40.710198154
236.829185984 40.902065737
236.991775249 40.844991925
> -Z7.135233333
235.420602595 40.832281373
235.459809685 40.639121551
235.277954654 40.693149481
> -Z20.087800000
235.877005764 41.048120955
236.016091108 41.184089703
236.039562945 40.992391323
> -Z22.025333333
235.917581608 42.295985176
235.765256680 42.356245130
235.948664087 42.482471847
> -Z29.565300000
236.364804401 40.880143167
236.388276906 40.688371571
236.225702287 40.744594969
> -Z13.458333333
235.784870203 40.528603016
235.645802228 40.392362825
235.622333076 40.583977074
> -Z5.554266667
234.964707766 43.872773187
234.981352790 43.618974131
234.800764835 43.731339749
> -Z2.086666667
233.600121578 47.972204579
233.415195487 47.917772304
233.496205660 48.093608337
> -Z15.558800000
235.507127933 43.526949838
235.327065149 43.644755107
235.491879867 43.787746438
> -Z17.038066667
235.634846079 44.194940848
235.472922426 44.048392224
235.450656814 44.307590813
> -Z44.182400000
237.047250160 47.128699371
237.055476049 46.928794672
236.877812108 47.021643389
> -Z10.460433333
233.756995545 48.327806188
233.640349045 48.457787425
233.829141456 48.510552545
> -Z38.578033333
236.702362152 46.248317501
236.604654998 46.401522257
236.785622901 46.424804793
> -Z4.173166667
234.867067404 44.881282880
234.709152936 44.733224694
234.680290896 44.982942719
> -Z1.902866667
234.614756567 45.483699867
234.425129369 45.579485943
234.575680731 45.735483933
> -Z12.347166667
235.108175636 45.699840085
235.299235778 45.597342228
235.146772958 45.438968424
> -Z6.740733333
234.366113042 47.456761705
234.316342579 47.311093186
234.185869638 47.387772777
> -Z1.683033333
234.334982746 46.075338302
234.473796892 46.243397964
234.529695373 45.988608039
> -Z2.481066667
232.472447771 48.880763504
232.535047715 49.066784459
232.641532014 48.931295267
> -Z6.352000000
234.766742352 45.639475361
234.723451304 45.896328196
234.916246091 45.799803448
> -Z7.883800000
234.992525919 45.284459844
234.803823227 45.385189144
234.957040950 45.540434583
> -Z38.241066667
234.924294843 48.878938319
234.869177207 49.074053573
235.081235209 49.011867616
> -Z41.696366667
234.452526634 49.521382102
234.305618204 49.568463763
234.493488954 49.671901171
> -Z11.062733333
234.078847332 47.927566791
234.167246250 48.101704922
234.269474370 47.961260552
> -Z1.023733333
233.611315945 47.674680413
233.796706408 47.720911537
233.703650697 47.552949584
> -Z9.745933333
232.829854155 48.986074880
232.873419962 49.185817523
233.003469264 49.090553879
