  -4.0223200e+05   8.2117500e+04   0.0000000e+00  -1.0400000e-03  -1.5000000e-03   2.6200000e-03   2.1070000e-03   2.3060000e-03   6.9560000e-03
  -9.2215900e+04   2.4077500e+04   0.0000000e+00  -6.2200000e-04  -4.0100000e-03  -1.3500000e-02   1.8110000e-03   2.4260000e-03   4.8880000e-03
  -9.2805200e+04   7.5157600e+04   0.0000000e+00   4.3200000e-03  -9.7300000e-03  -3.7100000e-03   1.6310000e-03   1.7940000e-03   4.1170000e-03
   5.5524900e+04  -3.9296600e+04   0.0000000e+00  -4.4500000e-01  -1.8300000e+00   1.2600000e+00   1.2570000e-03   2.3150000e-03   2.9470000e-03
   6.0128300e+04  -5.5321900e+04   0.0000000e+00  -3.1600000e-01  -1.3000000e+00   6.0600000e-01   1.7890000e-03   1.6310000e-03   7.0330000e-03
  -3.0618600e+05   6.4032000e+03   0.0000000e+00  -3.4100000e-03  -1.0100000e-03  -4.6200000e-03   9.2880000e-03   2.7050000e-03   2.9287000e-02
  -1.6932600e+05  -6.7808000e+02   0.0000000e+00  -3.5700000e-03  -2.1000000e-03  -2.3500000e-03   2.7400000e-03   3.4840000e-03   5.5360000e-03
   1.8510100e+05  -1.3011400e+05   0.0000000e+00   7.1600000e-03  -3.7300000e-04  -5.7500000e-03   2.5960000e-03   2.6890000e-03   6.9390000e-03
  -2.7631500e+05   2.1115300e+05   0.0000000e+00  -1.9000000e-03  -1.8600000e-03  -2.5200000e-03   1.9660000e-03   2.1530000e-03   3.9820000e-03
   1.0631300e+05  -8.5975100e+04   0.0000000e+00   4.7400000e-02  -2.2300000e-01   2.5100000e-02   1.7480000e-03   2.6920000e-03   3.4340000e-03
   2.9528700e+05  -8.9960700e+04   0.0000000e+00   3.9200000e-04  -1.7300000e-03  -6.0400000e-03   1.7010000e-03   2.7020000e-03   7.5510000e-03
   5.9623600e+04   5.6985300e+03   0.0000000e+00  -2.2200000e-01  -1.3900000e+00  -5.9000000e-01   1.5540000e-03   2.8590000e-03   3.9930000e-03
