Number xind yind east north data err wgt Elos Nlos Ulos
  67 1168 1541 84.97292 27.783750 277.227203 37.84753   1105 0.69587 -0.12045 0.70799
  68 1168 1571 84.97292 27.808750 313.469025 43.61334   1025 0.69599 -0.12042 0.70788
  69 1206 1571 85.00458 27.808750 456.089966 53.59647   1035 0.69383 -0.12024 0.71003
  70 1206 1541 85.00458 27.783750 390.864044 60.93460   1143 0.69368 -0.12026 0.71018
  71 1168 1480 84.97292 27.732917 71.602386 29.04082   1152 0.69568 -0.12051 0.70817
  72 1168 1510 84.97292 27.757917 184.462250 64.26453   1121 0.69557 -0.12045 0.70829
  73 1206 1510 85.00458 27.757917 280.778381 51.45659   1116 0.69333 -0.12022 0.71052
  74 1206 1480 85.00458 27.732917 158.030273 32.22693   1154 0.69342 -0.12031 0.71041
  75  766 1098 84.63792 27.414583 -68.123230 19.86551  68056 0.71295 -0.12214 0.69049
  76  766 1342 84.63792 27.617917 -1.698231 26.76261  68406 0.71529 -0.12218 0.68806
  77 1072 1342 84.89292 27.617917 -25.440729 23.98471  72517 0.69908 -0.12085 0.70476
  78 1072 1098 84.89292 27.414583 -69.320686 19.59396  71359 0.69626 -0.12073 0.70757
  79 1379 1098 85.14875 27.414583 -45.775974 19.64839  73513 0.67866 -0.11906 0.72474
  80 1302 1281 85.08458 27.567083 -14.701724 21.35528  18523 0.68587 -0.11973 0.71781
  81 1264 1373 85.05292 27.643750 22.703690 21.28344   4655 0.68917 -0.11999 0.71459
  82 1264 1434 85.05292 27.694583 144.684052 51.86069   4596 0.68941 -0.11994 0.71437
  83 1341 1434 85.11708 27.694583 231.064117 68.73880   4624 0.68555 -0.11963 0.71812
  84 1341 1373 85.11708 27.643750 83.220528 48.63543   4688 0.68455 -0.11954 0.71910
  85 1418 1373 85.18125 27.643750 153.280746 17.75072   4636 0.68018 -0.11913 0.72331
  86 1399 1419 85.16542 27.682083 224.784332 52.76923   1186 0.68191 -0.11929 0.72164
  87 1399 1449 85.16542 27.707083 385.245789 48.62286   1138 0.68167 -0.11920 0.72189
  88 1437 1449 85.19708 27.707083 452.877899 41.23442   1093 0.67950 -0.11899 0.72396
  89 1437 1419 85.19708 27.682083 282.615723 64.21370   1154 0.67949 -0.11903 0.72396
  90 1475 1419 85.22875 27.682083 408.794128 62.12695   1161 0.67697 -0.11877 0.72636
  91 1475 1449 85.22875 27.707083 519.386719 55.74671   1128 0.67732 -0.11878 0.72604
  92 1513 1449 85.26042 27.707083 586.155273 55.78218   1133 0.67497 -0.11856 0.72826
  93 1513 1419 85.26042 27.682083 457.016907 33.80458   1171 0.67460 -0.11854 0.72860
  94 1494 1373 85.24458 27.643750 162.917908 52.43311   4545 0.67566 -0.11869 0.72760
  95 1456 1281 85.21292 27.567083 25.960499 48.81694  18481 0.67650 -0.11879 0.72680
  96 1571 1251 85.30875 27.542083 37.008644 24.03527   4622 0.66949 -0.11814 0.73336
  97 1571 1312 85.30875 27.592917 139.994263 49.72401   4642 0.66984 -0.11812 0.73305
  98 1647 1312 85.37208 27.592917 189.744431 61.82682   4363 0.66522 -0.11764 0.73732
  99 1647 1251 85.37208 27.542083 84.236549 26.69682   4602 0.66468 -0.11763 0.73781
 100 1552 1358 85.29292 27.631250 208.419556 41.80870   1189 0.67145 -0.11824 0.73156
 101 1552 1388 85.29292 27.656250 364.413330 55.23408   1166 0.67182 -0.11826 0.73122
 102 1590 1388 85.32458 27.656250 390.156555 40.00868   1140 0.66952 -0.11803 0.73335
 103 1590 1358 85.32458 27.631250 278.657104 45.28950   1177 0.66918 -0.11802 0.73367
 104 1552 1419 85.29292 27.682083 482.538422 55.14642   1206 0.67221 -0.11830 0.73085
 105 1552 1449 85.29292 27.707083 630.865723 74.11089   1170 0.67258 -0.11831 0.73051
 106 1590 1449 85.32458 27.707083 661.293762 29.48993   1140 0.67025 -0.11808 0.73268
 107 1590 1419 85.32458 27.682083 539.834961 46.40141   1178 0.66988 -0.11805 0.73303
 108 1628 1419 85.35625 27.682083 581.149719 68.10193   1166 0.66753 -0.11782 0.73520
 109 1628 1449 85.35625 27.707083 733.377808 62.54552   1134 0.66793 -0.11784 0.73484
 110 1666 1449 85.38792 27.707083 812.036987 57.64408   1136 0.66557 -0.11760 0.73701
 111 1666 1419 85.38792 27.682083 639.334473 57.33329   1175 0.66519 -0.11758 0.73735
 112 1628 1358 85.35625 27.631250 332.516144 45.78813   1178 0.66682 -0.11778 0.73586
 113 1628 1388 85.35625 27.656250 445.385559 33.96289   1139 0.66716 -0.11780 0.73554
 114 1666 1388 85.38792 27.656250 502.705444 52.48542   1138 0.66481 -0.11755 0.73770
 115 1666 1358 85.38792 27.631250 369.923279 52.53171   1159 0.66448 -0.11753 0.73801
 116 1705 1358 85.42042 27.631250 399.676483 50.99979   1171 0.66210 -0.11729 0.74018
 117 1705 1388 85.42042 27.656250 539.714966 56.30685   1167 0.66241 -0.11730 0.73990
 118 1743 1388 85.45208 27.656250 574.225952 74.82133   1112 0.65997 -0.11704 0.74212
 119 1743 1358 85.45208 27.631250 419.296417 54.11525   1148 0.65986 -0.11707 0.74221
 120 1705 1419 85.42042 27.682083 724.751038 65.91589   1190 0.66274 -0.11732 0.73960
 121 1705 1449 85.42042 27.707083 864.120850 43.59578   1157 0.66314 -0.11735 0.73924
 122 1743 1449 85.45208 27.707083 900.566528 44.12298   1125 0.66085 -0.11712 0.74133
 123 1743 1419 85.45208 27.682083 776.365479 54.66435   1131 0.66035 -0.11708 0.74178
 124 1781 1419 85.48375 27.682083 803.509766 49.80255   1149 0.65798 -0.11681 0.74392
 125 1781 1449 85.48375 27.707083 919.647461 38.57530   1126 0.65846 -0.11686 0.74349
 126 1819 1449 85.51542 27.707083 970.182251 23.94949   1087 0.65620 -0.11664 0.74552
 127 1819 1419 85.51542 27.682083 833.368286 47.47413   1153 0.65582 -0.11661 0.74585
 128 1781 1358 85.48375 27.631250 449.074768 50.93391   1148 0.65730 -0.11678 0.74453
 129 1781 1388 85.48375 27.656250 623.712402 84.68659   1123 0.65758 -0.11678 0.74428
 130 1819 1388 85.51542 27.656250 668.248169 74.16943   1118 0.65518 -0.11654 0.74643
 131 1819 1358 85.51542 27.631250 511.039093 53.67793   1160 0.65479 -0.11651 0.74678
 132 1724 1251 85.43625 27.542083 94.956184 32.86162   4445 0.66032 -0.11721 0.74178
 133 1705 1297 85.42042 27.580417 162.356491 49.69410   1181 0.66163 -0.11729 0.74060
 134 1705 1327 85.42042 27.605417 271.757782 44.07355   1164 0.66185 -0.11729 0.74041
 135 1743 1327 85.45208 27.605417 291.511658 41.48060   1123 0.65943 -0.11703 0.74260
 136 1743 1297 85.45208 27.580417 185.771149 38.51544   1167 0.65918 -0.11703 0.74282
 137 1781 1297 85.48375 27.580417 206.025208 36.63081   1161 0.65658 -0.11673 0.74517
 138 1781 1327 85.48375 27.605417 324.644348 35.52979   1120 0.65696 -0.11675 0.74483
 139 1819 1327 85.51542 27.605417 371.806305 50.14350   1116 0.65451 -0.11650 0.74703
 140 1819 1297 85.51542 27.580417 257.153564 32.02277   1165 0.65401 -0.11645 0.74747
 141 1800 1251 85.49958 27.542083 130.530289 54.25798   4436 0.65480 -0.11656 0.74676
 142 1685 1098 85.40375 27.414583 -13.956195 24.92604  68959 0.65962 -0.11709 0.74242
 143 1245 1480 85.03708 27.732917 269.148865 48.74017   1194 0.69101 -0.12007 0.71280
 144 1245 1510 85.03708 27.757917 374.145294 49.86813   1112 0.69102 -0.12002 0.71280
 145 1283 1510 85.06875 27.757917 476.063690 50.82500   1093 0.68888 -0.11983 0.71491
 146 1283 1480 85.06875 27.732917 340.273376 46.96478   1140 0.68867 -0.11985 0.71511
 147 1264 1556 85.05292 27.796250 578.190918 69.81161   4500 0.69044 -0.11995 0.71337
 148 1341 1556 85.11708 27.796250 700.711182 33.93973   4522 0.68655 -0.11962 0.71718
 149 1322 1480 85.10125 27.732917 421.092194 45.01155   1189 0.68650 -0.11965 0.71722
 150 1322 1510 85.10125 27.757917 531.120667 36.06305   1149 0.68685 -0.11967 0.71688
 151 1360 1509 85.13292 27.757083 634.522278 51.56789   1090 0.68453 -0.11943 0.71914
 152 1360 1480 85.13292 27.732917 470.515625 68.94069   1162 0.68413 -0.11941 0.71952
 153 1264 1617 85.05292 27.847083 608.716675 61.84842   4242 0.69107 -0.11995 0.71276
 154 1263 1678 85.05208 27.897917 516.098938 27.89046   4324 0.69202 -0.12003 0.71183
 155 1341 1678 85.11708 27.897917 591.288696 69.25193   4429 0.68750 -0.11961 0.71627
 156 1341 1616 85.11708 27.846250 731.111511 19.58838   4285 0.68680 -0.11959 0.71694
 157 1418 1617 85.18125 27.847083 720.381409 30.79992   4402 0.68233 -0.11915 0.72127
 158 1418 1678 85.18125 27.897917 577.936890 60.87094   4085 0.68282 -0.11917 0.72080
 159 1494 1678 85.24458 27.897917 516.770813 66.11769   4051 0.67844 -0.11876 0.72499
 160 1494 1617 85.24458 27.847083 685.300720 61.39479   4410 0.67810 -0.11877 0.72531
 161 1399 1480 85.16542 27.732917 536.396729 55.27849   1192 0.68185 -0.11920 0.72171
 162 1399 1510 85.16542 27.757917 679.085999 51.01866   1129 0.68239 -0.11925 0.72120
 163 1437 1510 85.19708 27.757917 737.095825 44.76854   1101 0.68018 -0.11903 0.72331
 164 1437 1480 85.19708 27.732917 605.517822 44.44006   1162 0.67974 -0.11900 0.72373
 165 1418 1556 85.18125 27.796250 759.184448 26.86117   4526 0.68181 -0.11916 0.72176
 166 1494 1556 85.24458 27.796250 832.014160 61.51632   4525 0.67748 -0.11877 0.72589
 167 1475 1480 85.22875 27.732917 647.975952 27.11884   1141 0.67765 -0.11881 0.72573
 168 1476 1510 85.22958 27.757917 781.654419 56.86210   1083 0.67797 -0.11882 0.72542
 169 1513 1510 85.26042 27.757917 838.283447 48.39877    988 0.67583 -0.11863 0.72745
 170 1513 1480 85.26042 27.732917 691.824829 39.07269   1103 0.67545 -0.11859 0.72780
 171 1245 1724 85.03708 27.936250 439.490479 15.44557   1019 0.69399 -0.12022 0.70987
 172 1245 1754 85.03708 27.961250 327.910645 50.38391    850 0.69431 -0.12024 0.70956
 173 1283 1754 85.06875 27.961250 316.369446 40.10985    967 0.69209 -0.12003 0.71176
 174 1283 1724 85.06875 27.936250 455.438782 19.81555   1086 0.69158 -0.11997 0.71227
 175 1245 1785 85.03708 27.987083 180.577957 59.28176   1101 0.69482 -0.12028 0.70906
 176 1245 1815 85.03708 28.012083 -41.175171 78.41472    846 0.69507 -0.12028 0.70881
 177 1283 1815 85.06875 28.012083 -31.884939 59.27589   1077 0.69297 -0.12008 0.71090
 178 1283 1785 85.06875 27.987083 145.848511 61.59138   1069 0.69269 -0.12008 0.71117
 179 1322 1785 85.10125 27.987083 135.760239 71.81990   1099 0.69013 -0.11982 0.71369
 180 1322 1815 85.10125 28.012083 -75.666412 97.09302    866 0.69037 -0.11981 0.71347
 181 1360 1815 85.13292 28.012083 -192.498611 88.27608    920 0.68849 -0.11968 0.71530
 182 1360 1785 85.13292 27.987083 122.612404 74.88013    901 0.68771 -0.11958 0.71607
 183 1322 1724 85.10125 27.936250 471.608551 37.33696   1106 0.68906 -0.11974 0.71475
 184 1322 1754 85.10125 27.961250 308.550659 71.49724   1006 0.68960 -0.11978 0.71421
