> -Z92.887019838
141.969361369 34.236652752
142.095813969 34.262144820
142.066668072 34.128663728
> -Z92.472479512
139.880055782 37.050227766
139.976659283 37.164196179
139.999672415 37.035446342
> -Z92.861827289
141.775136675 34.452344906
141.972324148 34.466268798
141.872483161 34.344593810
> -Z92.865106825
142.125087754 34.395608862
142.095813969 34.262144820
142.008435094 34.346434606
> -Z92.856193644
142.125087754 34.395608862
142.008435094 34.346434606
141.972324148 34.466268798
> -Z92.817195481
142.154165385 34.529102623
142.033887432 34.631755419
142.182829024 34.662654461
> -Z92.863459506
141.872483161 34.344593810
141.972324148 34.466268798
142.008435094 34.346434606
> -Z90.300927640
146.711636871 42.172564865
146.531952539 42.190723969
146.665549504 42.296420372
> -Z92.751708029
139.598277854 35.752311869
139.463894524 35.759003458
139.539435804 35.876401039
> -Z92.746049340
139.443509951 35.893014913
139.539435804 35.876401039
139.463894524 35.759003458
> -Z92.609785605
142.250319593 35.670135022
142.422247518 35.728695216
142.382759602 35.597029867
> -Z92.490542171
139.911877715 36.930250882
139.880055782 37.050227766
139.999672415 37.035446342
> -Z92.502230693
139.911877715 36.930250882
139.788512589 36.933699795
139.880055782 37.050227766
> -Z92.843543280
141.972324148 34.466268798
142.154165385 34.529102623
142.125087754 34.395608862
> -Z92.832083150
141.972324148 34.466268798
142.033887432 34.631755419
142.154165385 34.529102623
> -Z92.673067120
139.601131552 36.220050472
139.449630590 36.163142873
139.482990082 36.297037187
> -Z92.876417647
142.008435094 34.346434606
142.095813969 34.262144820
141.969361369 34.236652752
> -Z92.875903736
142.008435094 34.346434606
141.969361369 34.236652752
141.872483161 34.344593810
> -Z92.692390982
142.141813933 35.274482493
142.320661135 35.330721645
142.285226111 35.198252235
> -Z92.739539008
139.732644115 35.745416703
139.794388472 35.868471797
139.867125701 35.735407701
> -Z92.531840768
139.703331547 36.814168131
139.788512589 36.933699795
139.858958985 36.811822210
> -Z92.519399644
139.911877715 36.930250882
139.858958985 36.811822210
139.788512589 36.933699795
> -Z92.005521192
142.317897794 38.244398061
142.203033237 38.357334075
142.392886521 38.359737266
> -Z92.060277450
142.542078998 38.104961242
142.476894784 37.979676666
142.328836312 38.102884729
> -Z92.191344773
141.610210922 37.815124694
141.819420955 37.814915251
141.681146227 37.686588997
> -Z92.526879507
140.125856104 36.708578181
140.009473460 36.768940224
140.162843020 36.867602915
> -Z92.098324309
142.615110301 37.870769082
142.398647463 37.841682079
142.476894784 37.979676666
