> -Z1.363146667
141.969361369 34.236652752
142.095813969 34.262144820
142.066668072 34.128663728
> -Z98.033833333
139.880055782 37.050227766
139.976659283 37.164196179
139.999672415 37.035446342
> -Z8.391336667
141.775136675 34.452344906
141.972324148 34.466268798
141.872483161 34.344593810
> -Z1.006616667
142.125087754 34.395608862
142.095813969 34.262144820
142.008435094 34.346434606
> -Z2.491693333
142.125087754 34.395608862
142.008435094 34.346434606
141.972324148 34.466268798
> -Z1.009270000
142.154165385 34.529102623
142.033887432 34.631755419
142.182829024 34.662654461
> -Z5.251820000
141.872483161 34.344593810
141.972324148 34.466268798
142.008435094 34.346434606
> -Z8.199216667
146.711636871 42.172564865
146.531952539 42.190723969
146.665549504 42.296420372
> -Z94.623733333
139.598277854 35.752311869
139.463894524 35.759003458
139.539435804 35.876401039
> -Z97.849433333
139.443509951 35.893014913
139.539435804 35.876401039
139.463894524 35.759003458
> -Z0.911633333
142.250319593 35.670135022
142.422247518 35.728695216
142.382759602 35.597029867
> -Z96.067833333
139.911877715 36.930250882
139.880055782 37.050227766
139.999672415 37.035446342
> -Z98.034000000
139.911877715 36.930250882
139.788512589 36.933699795
139.880055782 37.050227766
> -Z1.485076667
141.972324148 34.466268798
142.154165385 34.529102623
142.125087754 34.395608862
> -Z2.494346667
141.972324148 34.466268798
142.033887432 34.631755419
142.154165385 34.529102623
> -Z97.213700000
139.601131552 36.220050472
139.449630590 36.163142873
139.482990082 36.297037187
> -Z2.369763333
142.008435094 34.346434606
142.095813969 34.262144820
141.969361369 34.236652752
> -Z5.129890000
142.008435094 34.346434606
141.969361369 34.236652752
141.872483161 34.344593810
> -Z1.149856667
142.141813933 35.274482493
142.320661135 35.330721645
142.285226111 35.198252235
> -Z75.707366667
139.732644115 35.745416703
139.794388472 35.868471797
139.867125701 35.735407701
> -Z97.967900000
139.703331547 36.814168131
139.788512589 36.933699795
139.858958985 36.811822210
> -Z96.001900000
139.911877715 36.930250882
139.858958985 36.811822210
139.788512589 36.933699795
> -Z26.282200000
142.317897794 38.244398061
142.203033237 38.357334075
142.392886521 38.359737266
> -Z21.497600000
142.542078998 38.104961242
142.476894784 37.979676666
142.328836312 38.102884729
> -Z35.708566667
141.610210922 37.815124694
141.819420955 37.814915251
141.681146227 37.686588997
> -Z79.866166667
140.125856104 36.708578181
140.009473460 36.768940224
140.162843020 36.867602915
> -Z19.112466667
142.615110301 37.870769082
142.398647463 37.841682079
142.476894784 37.979676666
> -Z67.092400000
145.536894803 43.143037048
145.515354897 43.021389858
145.389785584 43.088814747
> -Z71.796866667
145.727141787 43.194612734
145.536894803 43.143037048
145.579250494 43.274141886
> -Z98.588866667
139.570367849 36.561486998
139.629534151 36.690154181
139.713452396 36.589798596
> -Z4.998870000
142.423650177 36.345522140
142.557472944 36.443613655
142.615020789 36.317389969
> -Z88.138866667
145.072365100 43.175661879
144.910934374 43.262502933
145.140867907 43.320121111
> -Z97.410866667
139.432053759 36.027863480
139.449630590 36.163142873
139.551601890 36.059100533
> -Z97.814633333
145.073558669 43.442677352
145.235075075 43.507163730
145.295488447 43.423526448
> -Z0.939636667
142.481967711 35.855264108
142.422247518 35.728695216
142.302433894 35.801572192
> -Z1.851270000
142.250319593 35.670135022
142.302433894 35.801572192
142.422247518 35.728695216
> -Z8.705670000
141.775136675 34.452344906
141.849886154 34.593099621
141.972324148 34.466268798
> -Z73.644033333
145.389785584 43.088814747
145.247997117 43.129558540
145.368871228 43.193843428
> -Z71.910733333
145.389785584 43.088814747
145.368871228 43.193843428
145.536894803 43.143037048
> -Z81.488700000
145.911022385 43.404470684
145.669058640 43.417385427
145.793352736 43.487446965
> -Z11.428946667
146.665549504 42.296420372
146.531952539 42.190723969
146.468564709 42.335168288
> -Z0.915243333
142.815455491 36.325109712
142.717717454 36.434201915
142.911382157 36.436311796
> -Z27.627800000
142.317897794 38.244398061
142.159726795 38.196943518
142.203033237 38.357334075
> -Z29.991933333
142.159726795 38.196943518
142.021839057 38.289590046
142.203033237 38.357334075
> -Z31.589033333
142.035389712 38.448810438
142.203033237 38.357334075
142.021839057 38.289590046
> -Z33.927366667
142.035389712 38.448810438
142.021839057 38.289590046
141.913643623 38.353029423
> -Z42.452733333
141.407028406 37.803225426
141.514816075 37.949031625
141.610210922 37.815124694
> -Z32.588333333
141.895480344 37.661087857
141.681146227 37.686588997
141.819420955 37.814915251
> -Z16.616666667
145.902154321 42.286427506
146.066486630 42.356812708
146.048839020 42.204721558
> -Z20.251366667
145.902154321 42.286427506
145.872785184 42.414151200
146.066486630 42.356812708
> -Z79.531533333
141.074776863 39.083677386
141.208075482 39.168373402
141.236729939 39.044314395
> -Z98.001433333
141.493048437 42.024295710
141.370172454 42.043485706
141.467086765 42.159621425
> -Z4.666893333
142.717717454 36.434201915
142.557472944 36.443613655
142.611854497 36.579791131
> -Z3.767843333
142.557472944 36.443613655
142.717717454 36.434201915
142.615020789 36.317389969
> -Z97.194366667
144.736300579 43.333803297
144.906774082 43.385390625
144.910934374 43.262502933
> -Z6.699120000
142.557472944 36.443613655
142.423650177 36.345522140
142.431450153 36.505347632
> -Z6.492743333
142.557472944 36.443613655
142.431450153 36.505347632
142.611854497 36.579791131
> -Z89.141333333
139.691687593 36.103584684
139.551601890 36.059100533
139.601131552 36.220050472
> -Z94.624566667
139.449630590 36.163142873
139.601131552 36.220050472
139.551601890 36.059100533
> -Z86.411233333
139.691687593 36.103584684
139.675761745 35.954233185
139.551601890 36.059100533
> -Z89.576600000
145.295488447 43.423526448
145.350325445 43.307666604
145.140867907 43.320121111
> -Z97.814633333
145.393538074 43.575352318
145.295488447 43.423526448
145.235075075 43.507163730
> -Z88.333566667
145.295488447 43.423526448
145.468958634 43.383813960
145.350325445 43.307666604
> -Z90.036933333
140.009473460 36.768940224
139.864785899 36.653473873
139.858958985 36.811822210
> -Z21.961633333
141.354630570 34.874863754
141.498103739 34.924505113
141.467595062 34.771898112
> -Z5.568806667
142.033887432 34.631755419
141.972324148 34.466268798
141.849886154 34.593099621
> -Z57.388200000
146.113960704 43.212299705
146.202473626 43.107439190
146.017470513 43.083229087
> -Z56.711966667
145.854954256 42.996914323
145.848913496 43.116984838
146.017470513 43.083229087
> -Z65.455600000
145.848913496 43.116984838
145.727141787 43.194612734
145.916269177 43.241988079
> -Z69.987800000
145.916269177 43.241988079
145.727141787 43.194612734
145.773183286 43.310916655
> -Z65.899166667
146.018172426 43.312540695
146.113960704 43.212299705
145.916269177 43.241988079
> -Z30.921633333
146.504596049 42.660271448
146.309995112 42.645255150
